鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,27.15,商,,,1060812,土地2建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,192.47,3,2,2,有,有,11950000,75124,坡道平面,57.36,1800000,,RPTOMLLLJHOFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1060723,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11630000,75783,坡道平面,40.37,1300000,,RPVOMLLLJHOFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.68,商,,,1061005,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,132.39,2,2,1,有,有,8200000,76070,坡道平面,40.37,1200000,,RPWOMLLLJHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.15,商,,,1060820,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,157.19,2,2,2,有,有,10200000,75827,坡道平面,37.18,1100000,,RPXOMLLLJHOFFAB97CA
東區,房地(土地+建物)+車位,臺中市東區建德街271~300號,26.18,住,,,1071123,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070905,163.94,3,2,2,有,有,9670000,59484,坡道平面,23.23,1300000,,RPPPMLLLJHOFFAB27CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,15.81,商,,,1070123,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,112.21000000000001,2,2,1,有,有,7350000,73563,坡道機械,20.18,580000,,RPRPMLLLJHOFFAB47CA
東區,房地(土地+建物)+車位,臺中市東區建德街271~300號,26.18,住,,,1071126,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070905,163.94,3,2,2,有,有,9710000,60834,坡道平面,23.23,1150000,,RPSPMLLLJHOFFAB57CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,19.36,商,,,1060825,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,137.31,2,2,1,有,有,8450000,74789,坡道平面,40.37,1200000,,RPOQMLLLJHOFFAB27CA
東區,房地(土地+建物)+車位,臺中市東區建德街271~300號,26.18,住,,,1070616,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070905,163.94,3,2,2,有,有,9480000,58134,坡道平面,23.23,1300000,107/8/16子讓渡1/2持分予母,RPUPMLLLJHOFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060722,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,8200000,77367,坡道機械,20.18,700000,,RPOPMLMLJHOFFAB27CA
西區,房地(土地+建物),臺中市西區五權七街211~240號,80.0,住,,,1071016,土地1建物1車位0,全,二層,透天厝,,加強磚造,0650923,69.4,5,2,4,有,無,6500000,93660,,0.0,0,直系血親間買賣,RPPNMLOLJHOFFAB37CA
北屯區,房地(土地+建物),臺中市北屯區崇德九路631~660號,73.6,住,,,1071207,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0920716,173.57999999999998,4,2,3,有,有,19650000,113204,,0.0,0,,RPQNMLNJJHOFFBB27CA
北區,房地(土地+建物),臺中市北區梅亭街391~420號,25.0,住,,,1071206,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,87.42,2,2,2,有,無,5200000,59483,,0.0,0,,RPUNMLNJJHOFFBB67CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1351~1380號,22.99,住,,,1071211,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,173.16,3,2,2,有,有,8300000,47933,坡道平面,51.62,0,,RPVNMLNJJHOFFBB77CA
北屯區,房地(土地+建物),臺中市北屯區昌平二街1~30號,173.13,住,,,1071207,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0951024,378.89,3,5,5,有,無,48500000,128005,,0.0,0,,RPPPMLNJJHOFFBB37CA
北區,房地(土地+建物)+車位,臺中市北區武漢街91~120號,23.71,住,,,1071211,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810728,118.71000000000001,3,2,2,有,有,6700000,56440,升降機械,0.0,0,含增建或未登記建物。;,RPUPMLOJJHOFFBB97CA
北屯區,房地(土地+建物),臺中市北屯區崇德路二段271~300號,7.8,住,,,1071204,土地1建物1車位0,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870417,99.00999999999999,3,2,1,有,有,5300000,53530,,0.0,0,,RPVNMLPJJHOFFBB97CA
北區,房地(土地+建物),臺中市北區漢口路四段61~90號,4.84,住,,,1071219,土地1建物1車位0,十一層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850715,45.47,1,1,1,有,有,2350000,51682,,0.0,0,,RPPNMLRJJHOFFBB57CA
北區,房地(土地+建物),臺中市北區北屯路31~60號,3.38,商,,,1071219,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850819,39.06,1,1,1,有,有,1600000,40963,,0.0,0,,RPUPMLSJJHOFFBB38CA
北區,房地(土地+建物),臺中市北區中清路一段301~330號,7.02,商,,,1071208,土地4建物2車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710121,72.22,1,1,1,有,有,2800000,38770,,0.0,0,建物2棟,RPWPMLSJJHOFFBB58CA
北屯區,房地(土地+建物),臺中市北屯區大連路一段31~60號,102.0,住,,,1071114,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0780603,261.92,7,0,6,有,無,19100000,72923,,0.0,0,,RPTPMLKKJHOFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹五路二段181~210號,16.47,住,,,1071125,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020927,156.11,3,2,2,有,有,8380000,56617,坡道平面,25.76,1000000,,RPOQMLLKJHOFFBB27CA
