鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
前金區,房地(土地+建物),高雄市前金區河東路151~180號,7.76,住,,,1071213,土地1建物2車位0,十層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850215,186.61,4,2,2,有,有,10160000,54445,,0.0,0,,RPQNMLNLJHOFFAE67CA
前金區,房地(土地+建物),高雄市前金區大同二路121~150號,1.05,商,,,1071115,土地1建物1車位0,四層,十二層,辦公商業大樓,,鋼筋混凝土造,0661001,7.25,2,2,1,有,有,388000,53517,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLLKJHOFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區文信路241~270號,12.04,商,,,1071213,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931025,121.18,3,2,2,有,有,7450000,61479,,0.0,0,,RPROMLOKJHOFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里美術館路181~210號,41.64,住,,,1071221,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,390.38,4,2,3,有,有,37120000,96763,坡道平面,48.1,4000000,,RPRNMLPKJHOFFAE87CA
鼓山區,房地(土地+建物),高雄市鼓山區九如四路2014巷1~30號,17.58,住,,,1071217,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710318,74.32,2,2,1,有,無,3030000,40770,,0.0,0,,RPQOMLPKJHOFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,21.92,住,,,1071211,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,194.29,3,2,2,有,有,11160000,57440,坡道平面,33.14,0,,RPOPMLSLJHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.72,住,,,1071212,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.51,2,2,2,有,有,7320000,53232,坡道機械,29.29,0,,RPPPMLSLJHOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.74,住,,,1071209,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.6,2,2,2,有,有,6920000,50291,坡道機械,29.29,0,,RPQPMLSLJHOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.74,住,,,1071205,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.6,2,2,2,有,有,7270000,52834,坡道機械,29.29,0,,RPRPMLSLJHOFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.74,住,,,1071201,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,140.32999999999998,2,2,2,有,有,7780000,55441,坡道平面,32.04,0,,RPTPMLSLJHOFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,21.92,住,,,1071202,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,194.29,3,2,2,有,有,10210000,52550,坡道平面,33.14,0,,RPUPMLSLJHOFFAE78CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,21.92,住,,,1071210,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,194.29,3,2,2,有,有,10240000,52705,坡道平面,33.14,0,,RPVPMLSLJHOFFAE88CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.72,住,,,1071203,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.51,2,2,2,有,有,6820000,49596,坡道機械,29.29,0,,RPPOMLTLJHOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.72,住,,,1071130,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.51,2,2,2,有,有,7020000,51051,坡道機械,29.29,0,,RPQOMLTLJHOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.72,住,,,1071126,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,141.36,2,2,2,有,有,7720000,54612,坡道平面,33.14,0,,RPSOMLTLJHOFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,14.74,住,,,1071207,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,137.6,2,2,2,有,有,6970000,50654,坡道機械,29.29,0,,RPTOMLTLJHOFFAE68CA
