鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
前金區,房地(土地+建物),高雄市前金區河東路1~30號,9.87,商,,,1071201,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780920.0,180.35,3,2,2,有,有,12700000,70419.0,,0.0,0,,RPRNMLKKJHOFFAE37CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路31~60號,30.91,住,,,1070709,土地1建物1車位1,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031212.0,362.36,3,2,3,有,有,32250000,89000.0,坡道平面,16.8,0,,RPRNMLLLJHOFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路451~480號,8.09,商,,,1071209,土地1建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950626.0,77.07,3,2,1,有,有,4900000,63579.0,,0.0,0,含增建或未登記建物。,RPRNMLRKJHOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路871~900號,12.46,商,,,1071129,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940915.0,132.89,3,2,2,有,有,8850000,66596.0,坡道機械,12.2,0,,RPQOMLOKJHOFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區富農路181~210號,24.69,商,,,1071222,土地1建物1車位2,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1021114.0,455.15,0,0,0,無,有,29500000,64814.0,坡道平面,51.1,0,,RPQNMLSLJHOFFAE18CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,4.02,商,,,1071217,土地1建物1車位0,十五層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860421.0,94.05,3,2,1,有,有,3000000,31898.0,,0.0,0,,RPXNMLPLJHOFFBE68CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路1~30號,24.85,住,,,1071128,土地2建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981109.0,236.48,4,2,3,有,有,19600000,82882.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLPKJHOFFBE48CA
前鎮區,房地(土地+建物),高雄市前鎮區長江街61~90號,25.88,住,,,1071208,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841229.0,165.67000000000004,4,2,2,有,有,6800000,41045.0,,0.0,0,,RPTPMLKKJHOFFCE97CA
小港區,房地(土地+建物)+車位,高雄市小港區中安路871~900號,31.47,住,,,1071126,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031201.0,190.94,3,2,2,有,有,9500000,49754.0,坡道平面,16.51,0,1.面學校2.含裝潢,RPPOMLKKJHOFFCE47CA
三民區,房地(土地+建物)+車位,高雄市三民區華德街31~60號,14.97,商,,,1071211,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107.0,170.79,3,2,2,有,有,9300000,54453.0,坡道平面,19.17,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKKJHOFFDE08CA
